"bonus part 1 question","bonus part 1 answer","bonus part 2 question","bonus part 2 answer","bonus part 3 question","bonus part 3 answer"
"Name this belief established by Alexander Stephens and supported by the Dunning School which presents the Confederacy as a “heroic defender” against Northern Aggression during the Civil War.","Lost Cause of the Confederacy","Lost Cause supporters point to this scorched earth campaign as Northern Aggression. Savannah, Georgia was presented as a “Christmas gift” at the end of this 1864 campaign across Georgia led by William Tecumseh Sherman.","Sherman’s March to the Sea [prompt on Sherman’s March]","Thomas Dixon Jr. advanced the Lost Cause with a book trilogy glorifying this organization that was adapted into the film Birth of a Nation. Nathan Bedford Forrest founded this white supremacist organization.","Ku Klux Klan [or the KKK; prompt on the Klan] <American History — Ganon Evans> [Ed. Louis Li]"
"Crinoids are members of this invertebrate phylum whose name means “rough-skinned.” Its other members include starfish and sea cucumbers.","echinoderms [ih-KAI-noh-dermz] [or Echinodermata]","Crinoid biodiversity sharply decreased following the mass extinction at the end of this geologic period, which killed 95 percent of all species and marked the end of the Paleozoic era.","Permian period","Crinoid fossils are made of this metal’s carbonate [CAR-buh-nayt], which is also used by corals to build their skeletons.","calcium [or Ca] <Biology — June Yin> [Ed.]"
"Name this author of the story “Bliss,” who described Laura breaking down and repeating “isn’t life—” after she delivers a basket of leftovers to the late Mr. Scott’s house in another story.","Katherine Mansfield","Mansfield was from this country. In her story “How Pearl Button Was Kidnapped,” she describes two women belonging to this country’s indigenous Māori population taking a little girl to the sea for the first time.","New Zealand [or Aotearoa]","Mansfield wrote her story “Prelude” after this author asked her for material for the Hogarth Press. The title character sleeps with Elizabeth I and wakes up as a woman in this author’s novel Orlando: A Biography.","Virginia Woolf <Mixed Literature — Rachel Ezrielev> [Ed. Joel Miles]"
"Name these things that were found to depend on environmental cues, causing people to misattribute and mislabel them. Alexithymia [uh-LEX-ih-THY-mee-uh] is the inability to identify these things.","emotions [or feelings]","In one study, participants were more likely to find a woman attractive if they met her while walking across a suspension bridge because of the misattribution of this emotion. Horror movies tend to cause this emotion.","fear [or being scared; accept synonyms]","Some researchers believe that a “normative” type of alexithymia appears more often in these people. A “toxic” form of a certain trait can cause these people to be more susceptible to depression and substance abuse.","males [or men; accept word forms such as being a man; prompt on toxic masculinity] <Social Science — Joy An> [Ed. Ganon Evans]"
"Name this Italian sports car manufacturer whose logo features a prancing horse. Ford’s attempt to defeat this manufacturer at the 1966 24 Hours of Le Mans was chronicled in a 2019 film starring Matt Damon.","Ferrari [accept Scuderia Ferrari or Ford v Ferrari]","Recent Formula One seasons have featured title battles between Ferrari and this German constructor, which Lewis Hamilton won six championships driving for. This manufacturer’s teams are nicknamed the “silver arrows.”","Mercedes-Benz [accept Mercedes-AMG Petronas]","Between 2010 and 2014, this Spanish driver drove for Ferrari, having previously won two championships with Renault [renn-oh]. This driver has entered the Indianapolis 500 three times, shockingly failing to qualify in 2019.","Fernando Alonso Diaz <Popular Culture — Joel Miles> [Ed. Ganon Evans]"
"Name this aria delivered by Prince Calaf about a princess who has three riddles. This aria ends with the word “Vincerò” sustained on B then up a note to A.","“Nessun Dorma”","“Nessun Dorma” appears in Turandot, an opera by this composer of La Bohème and Madame Butterfly.","Giacomo Puccini","This opera singer’s last performance was “Nessun Dorma.” This singer was nicknamed for his ability to handle the high C’s in La Fille du Regiment and formed the Three Tenors with Placido Domingo and José Carreras.","Luciano Pavarotti <Other Fine Arts — Ganon Evans> [Ed.]"
"Erasing the memories of people sometimes meant re-arranging homes to disrupt the technique of “memory palaces” illustrated by this man in De Oratore. Mark Antony’s wife Fulvia stabbed the tongue of this master orator.","Cicero","Erasing the images of governors or emperors was often difficult because they appeared on these objects like the denarius or libra. These objects were commonly minted in silver and used to purchase in Roman forums.","coins","After burying the Vestal Virgin Cornelia alive amongst other cruel acts, this dynasty’s last member Domitian was subject to a damnatio memoriae. This dynasty arose under Vespasian after the Year of the Four Emperors.","Flavian dynasty <European History — Ganon Evans> [Ed. Louis Li]"
"Compared to ordinary matter, antimatter particles have the opposite value of this quantity measured in coulombs.","electric charge","This antimatter particle, whose charge is plus-one, is the counterpart to an electron. One of these particles is emitted in beta-plus decay.","positrons [prompt on antielectrons]","Antimatter was first imagined by this physicist, who thought of positrons as “holes” in a space-filling “sea” of neutral particles. This Englishman’s namesake equation describes the wavefunction of spin one-half particles.","Paul Dirac [dih-RAK] [accept Dirac sea or Dirac equation] <Physics — June Yin> [Ed.]"
"Name this poet who wrote about “maggie and milly and molly and may” in one poem. Another work by this poet describes how “anyone lived in a pretty how town… with up so floating many bells down.”","e.e. cummings [or edward estlin cummings]","In “maggie and milly and molly and may,” “may [comes] home with a smooth round stone as small as a world and as large as alone” from this place. The poem ends with the line “it’s always ourselves we find in [this place].”","the sea [or the ocean; accept the beach or shoreline or coast]","cummings largely did not use letters with this property in his poems, including in the names of maggie, milly, molly, and may. The first letter of a sentence or a name generally has this property.","capitalized letters [or uppercase letters or capitalization] <Poetry — Joy An> [Ed. Joel Miles]"
"Ino was the daughter of Harmonia and this founder of Thebes. This hero earned the ire of Ares after killing a sacred dragon and sowing its teeth.","Cadmus","Ino appears to this hero and guides him to the island of Corfu. This hero struggles to return home to Ithaca and his wife Penelope after the Trojan War.","Odysseus [or Ulysses]","Ino is said to be the ancestor of several members of this group. The rituals of this group often climaxed with the rites of sparagmos [spah-rag-moes] and omophagia [oh-moe-fah-gee-ah], or tearing apart a living thing and eating its flesh raw.","maenads [or Bacchae or Bassarids or Bacchantes; prompt on Thiasus] <Mythology — Joy An> [Ed. Ganon Evans]"
