bonus part 1 question,bonus part 1 answer,bonus part 2 question,bonus part 2 answer,bonus part 3 question,bonus part 3 answer
"Identify this former deputy Director of the FBI, whose leaks helped Woodward and Bernstein uncover a Presidential conspiracy. His real name and his nickname are both acceptable.",W. Mark Felt (Deep Throat),"Deep Throat helped Woodward and Bernstein untangle this scandal, which stemmed from a burglary at a Washington, D.C. office complex.",Watergate scandal,"The Watergate scandal forced this US President to resign in 1974; his successor, Gerald Ford, controversially pardoned him a month later.",Richard Milhous Nixon
Give this term for molten rock that has emerged onto or above the surface of the crust.,lava,"Among the types of lava are pahoehoe, whose surface is billowing and smooth, and this type with a craggly surface of “clinkers.”",a’a,"Lava that cools very rapidly without growing crystals may form this rock, often described as volcanic glass because it can break into sharp sheets.",obsidian
"Name this European mountain range; Mont Blanc lies on the border between Italy and France, and this range stretches to Switzerland.",the Alps,"This major European river has its source in the Swiss Alps; it flows north, forms much of the France–Germany border, and empties into the North Sea in the Netherlands.",Rhine River,"This iconic, pyramid-shaped Alpine peak lies on the border between Switzerland and Italy; hundreds of climbers have died on it.",Matterhorn
"Name this number, the subject of a supposed “curse” on the composers of symphonies.",nine (ninth),"The “curse of the ninth” is said to have started with this German composer, totally deaf when he conducted the premiere of his Choral Ninth.",Ludwig van Beethoven,"Before succumbing to the “curse,” Beethoven premiered his Pastoral and this symphony with the “short-short-short-long” motif.",Fifth Symphony (Symphony No. 5 in C minor)
"Name this subphylum whose animals, including fish, mammals, and birds, all have backbones.",vertebrates,"Almost all vertebrates are gnathostomes because they have this body part, but hagfish and lampreys don’t.",jaws,"Most—but not all—fish lack these body parts, instead using gills to filter oxygen; pneumonia affects the alveoli in this organ.",lungs
"In one Poe short story, Montresor bricks Fortunato into a cellar wall after luring him with a “Cask of” this title wine.",Amontillado (The Cask of Amontillado),"This story’s narrator kills his housemate for his vulture-like eye, then reveals his dismembered victim to police by tearing up the floorboards.",The Tell-Tale Heart,Prospero tries to avoid death but is killed in front of an ebony clock by a supernatural embodiment of this story’s title sickness.,The Masque of the Red Death
Name this pre-Columbian South American empire in which Manco Cápac is credited with founding Cuzco.,Inca (Incan Empire),"In some stories, Manco Cápac was the son of Inti, worshipped in this Incan city high in the Andes of modern Peru.",Machu Picchu,"As Inti’s son, Manco Cápac is said to have arisen from this major Andean lake shared by Peru and Bolivia.",Lake Titicaca
"Name this Greek poet, whose attributed works include the Iliad.",Homer,“On First Looking into Chapman’s Homer” is by a poet who also wrote an “Ode on a Grecian” object of this type.,urn,That poem and “Ode on a Grecian Urn” are by this English Romantic poet who rivaled Lord Byron.,John Keats
Name this 2022 open-world RPG by FromSoftware distributed by Bandai Namco.,Elden Ring,"To commemorate “Let Me Solo Her,” Bandai sent Klein one of these bladed weapons inscribed “Rise, Tarnished.”",sword,The worldbuilding behind Malenia and other characters was done with the help of this American author of A Song of Ice and Fire.,George R. R. Martin
Name this type of supernatural person; medieval “hunts” for them were often excuses to harass and kill unpopular women.,witches (witchcraft; sorcerers/warlocks),Heinrich Kramer wrote this 15th-century text arguing witchcraft is a heresy to be punished by burning; its Latin name frames it as a weapon against witches.,Malleus Maleficarum (The Witch Hammer),"Malleus Maleficarum heavily cites this 13th‑century Scholastic saint, author of the Summa Theologica.",Saint Thomas Aquinas
Name this Spanish novel by Miguel de Cervantes about a man who attacks windmills he imagines are giants.,Don Quijote (Don Quixote),Don Quijote is accompanied by this long‑suffering servant.,Sancho Panza,"While traveling, Sancho rides Dapple, a gray-brown one of these long-eared, horse-like animals.",donkey (ass)
Name this destroyer god often depicted with a blue throat from drinking halahala poison.,Shiva,"Shiva is revered in Shaivism, a major denomination of this Indian religion.",Hinduism,"With Brahma and Vishnu, Shiva forms this group of three gods in Hinduism.",Trimurti
"Name this 1773 riot in which protestors boarded the Eleanor, Dartmouth, and Beaver and dumped their cargo into a harbor.",Boston Tea Party,This patriot and cousin of a future President gave the supposed coded message at the meeting preceding the Tea Party.,Samuel Adams,The British responded by closing the Port of Boston and revoking Massachusetts’s charter as part of this set of acts.,Intolerable Acts (Coercive Acts)
"Give the term that refers to the pigments red, yellow, and blue.",primary colors,Mondrian’s Broadway Boogie‑Woogie exemplifies the geometric form of this type of non‑realistic art.,abstract art,"In the 1960s, Mondrian’s work was adapted by Yves Saint Laurent into this art form, producing A‑line works.","fashion (dresses, clothes)"
Name this Austrian thinker whose psychoanalysis became more popular in the US than in Europe.,Sigmund Freud,Another Clark University lecturer was this colleague who coined the “collective unconscious.”,Carl Gustav Jung,Freud’s American lectures drew on his 1899 work on the interpretation of these unconscious events.,dreams (The Interpretation of Dreams)
Give this term for solutions with a pH value less than 7.,acids,The concentration of an unknown acid can be judged by this lab technique adding drops of a known base to a solution and using an indicator.,acid‑base titration,This strong acid is common in high school titration labs and is the main component of gastric juices.,hydrochloric acid (HCl)
"Multiplication comes before addition; similarly, this operation of repeated multiplication comes before multiplication and division.",exponentiation (raising to a power),These symbols are used to escape the normal order of operations.,parentheses (brackets/braces),"Addition has this property, so “3+4+5” gives the same result regardless of grouping; multiplication also has it, subtraction does not.",associative property
